ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor,Percentage_Good,Percentage_Fair,Percentage_Poor,Area_Percentage_Good,Area_Percentage_Fair,Area_Percentage_Poor,Total_Tunnel ,Tunnel_Condition_Good,Tunnel_Condtion_Fair,Tunnel_Condition_Poor,Tunnel_Condition_Severe,Tunnel_Percentage_Good,Tunnel_Percentage_Fair,Tunnel_Percentage_Poor,Tunnel_Percentage_Severe,Road_Total,Road_Not_Reported,Road_Road_Good_below95,Road_Fair_95to170,Road_Poor_above170,Road_NotReported_Percentage,Road_Good_Percentage,Road_Fair_Percentage,Road_Poor_Percentage
17,2010,KANSAS,25329,14079,9335,1904,7946923,5449483,2176682,319556,0.555845079,0.368549884,0.075170753,0.685734969,0.27390249,0.040211287,,,,,,,,,,,,,,,,,,
18,2010,KENTUCKY,13849,5959,6713,1175,5642799,2525642,2720636,395815,0.430283775,0.484728139,0.084843671,0.447586738,0.482142993,0.070145153,,,,,,,,,,,,,,,,,,
19,2010,LOUISIANA,13361,7186,4658,1494,15402027,8042233,6065414,1243314,0.537833994,0.3486266,0.111817978,0.522154194,0.393806218,0.08072405,,,,,,,,,,,,,,,,,,
20,2010,MAINE,2393,781,1239,373,1206011,469560,560467,175984,0.326368575,0.517760134,0.155871291,0.389349683,0.464727934,0.145922384,,,,,,,,,,,,,,,,,,
21,2010,MARYLAND,5195,1808,3020,353,4786394,1228390,3168765,314259,0.348026949,0.5813282,0.067949952,0.256642057,0.662035971,0.065656734,,,,,,,,,,,,,,,,,,
22,2010,MASSACHUSETTS,5113,1593,2970,545,3988132,1004355,2326405,656830,0.311558772,0.580872286,0.106591042,0.251835947,0.583331996,0.164696153,,,,,,,,,,,,,,,,,,
23,2010,MICHIGAN,10928,4562,4874,1487,6176132,2139738,3277385,758369,0.417459736,0.446010249,0.136072474,0.346452764,0.530653328,0.122790284,,,,,,,,,,,,,,,,,,
24,2010,MINNESOTA,13108,8137,3868,1101,6102963,3582032,2220952,297226,0.620765944,0.29508697,0.083994507,0.586933265,0.363913725,0.048701917,,,,,,,,,,,,,,,,,,
25,2010,MISSISSIPPI,17065,11439,3747,1879,8523994,6244237,1794347,485411,0.670319367,0.219572224,0.110108409,0.732548263,0.210505427,0.056946427,,,,,,,,,,,,,,,,,,
26,2010,MISSOURI,24245,11812,10115,2317,10068706,4862107,4224450,982062,0.487193236,0.417199423,0.095566096,0.482892936,0.419562355,0.097536069,,,,,,,,,,,,,,,,,,
27,2010,MONTANA,5119,2061,2802,256,1940070,727342,1112697,100031,0.402617699,0.547372534,0.050009768,0.374905029,0.57353446,0.051560511,,,,,,,,,,,,,,,,,,
28,2010,NEBRASKA,15376,8194,5280,1881,3841122,2411087,1151337,277343,0.532908429,0.3433923,0.122333507,0.627703832,0.299739764,0.072203643,,,,,,,,,,,,,,,,,,
29,2010,NEVADA,1753,1119,599,35,1370582,839740,513866,16977,0.638334284,0.341699943,0.019965773,0.612688624,0.374925397,0.012386709,,,,,,,,,,,,,,,,,,
30,2010,NEW HAMPSHIRE,2409,1250,909,250,1053001,575145,365671,112184,0.518887505,0.377334994,0.103777501,0.546196062,0.347265577,0.106537411,,,,,,,,,,,,,,,,,,
31,2010,NEW JERSEY,6520,2087,3789,642,6581560,1823390,4157902,599895,0.320092025,0.581134969,0.098466258,0.27704526,0.631750223,0.091147843,,,,,,,,,,,,,,,,,,
32,2010,NEW MEXICO,3903,1400,2186,316,1652073,643755,880693,127626,0.358698437,0.560081988,0.080963362,0.389664985,0.533083587,0.077252034,,,,,,,,,,,,,,,,,,
33,2010,NEW YORK,17365,6570,8690,2100,12639165,3601218,7203466,1832908,0.37834725,0.500431903,0.120932911,0.28492531,0.569932112,0.145018124,,,,,,,,,,,,,,,,,,
34,2010,NORTH CAROLINA,18099,7352,8822,1918,8543213,3559897,4069477,910730,0.406210288,0.487430245,0.105972706,0.416692994,0.476340342,0.10660275,,,,,,,,,,,,,,,,,,
35,2010,NORTH DAKOTA,4418,2349,1548,521,1192081,717770,406147,68163,0.531688547,0.350384789,0.117926664,0.602115125,0.340704197,0.057179839,,,,,,,,,,,,,,,,,,
36,2010,OHIO,28033,13201,12075,2687,13202920,5311511,6767455,1064129,0.470909285,0.430742339,0.095851318,0.402298204,0.512572598,0.080598004,,,,,,,,,,,,,,,,,,
37,2010,OKLAHOMA,23692,9455,10042,4189,8216524,3656273,3394659,1164705,0.399079858,0.423856154,0.176810738,0.444990242,0.413150257,0.141751548,,,,,,,,,,,,,,,,,,
38,2010,OREGON,7255,3042,3779,433,4769987,1516817,2931709,321120,0.419297037,0.52088215,0.059682977,0.317991852,0.614615721,0.067320938,,,,,,,,,,,,,,,,,,
39,2010,PENNSYLVANIA,22362,5272,11071,5957,12369020,2935706,7018406,2378586,0.235757088,0.495080941,0.266389411,0.23734346,0.567418114,0.192301896,,,,,,,,,,,,,,,,,,
40,2010,RHODE ISLAND,757,127,466,163,786550,121091,464385,198841,0.167767503,0.615587847,0.215323646,0.153952069,0.590407476,0.252801475,,,,,,,,,,,,,,,,,,
41,2010,SOUTH CAROLINA,9252,4427,3763,1062,6564306,3348569,2663389,552348,0.478491137,0.406722871,0.114785992,0.510117749,0.405738093,0.084144158,,,,,,,,,,,,,,,,,,
42,2010,SOUTH DAKOTA,5891,1872,2959,1060,1659360,420350,1059562,179448,0.317772874,0.502291631,0.179935495,0.253320557,0.638536544,0.108142898,,,,,,,,,,,,,,,,,,
43,2010,TENNESSEE,19892,9740,9014,1136,9174014,4117516,4502871,553410,0.489644078,0.453146994,0.057108385,0.448823819,0.490828878,0.060323649,,,,,,,,,,,,,,,,,,
44,2010,TEXAS,51454,27789,22479,1179,41188845,22203255,18200018,784724,0.54007463,0.436875656,0.02291367,0.539059908,0.441867646,0.019051857,,,,,,,,,,,,,,,,,,
45,2010,UTAH,2911,1745,1049,117,1806777,1123576,637098,46103,0.599450361,0.360357266,0.040192374,0.621867558,0.352615735,0.025516707,,,,,,,,,,,,,,,,,,
46,2010,VERMONT,2712,1208,1250,254,836168,367389,374974,93806,0.445427729,0.460914454,0.093657817,0.439372231,0.448443375,0.112185589,,,,,,,,,,,,,,,,,,
47,2010,VIRGINIA,13522,4822,7533,1165,9043518,3267079,5178426,515229,0.356604053,0.557092146,0.086155894,0.361261956,0.572611897,0.056972187,,,,,,,,,,,,,,,,,,
48,2010,WASHINGTON,7755,3929,3448,374,6783644,2395084,3781596,606550,0.506640877,0.444616377,0.04822695,0.353067466,0.557457909,0.089413595,,,,,,,,,,,,,,,,,,
49,2010,WEST VIRGINIA,7069,3337,2755,976,3388158,1317148,1747045,323915,0.472061112,0.389729806,0.138067619,0.388750466,0.515632683,0.095602094,,,,,,,,,,,,,,,,,,
50,2010,WISCONSIN,13982,7587,5336,1037,6334416,3137170,2854802,327230,0.542626234,0.381633529,0.074166786,0.495257969,0.450681168,0.051659064,,,,,,,,,,,,,,,,,,
51,2010,WYOMING,3060,778,1892,377,1230868,210158,851980,168140,0.254248366,0.618300654,0.123202614,0.170739673,0.692178203,0.136602788,,,,,,,,,,,,,,,,,,
52,2010,PUERTO RICO,2201,494,1488,219,1981711,551986,1272993,156732,0.224443435,0.676056338,0.099500227,0.27854011,0.642370658,0.079089231,,,,,,,,,,,,,,,,,,
53,2010,TOTALS,604493,286534,258277,59305,351470253,158764140,161805951,30444638,0.474007143,0.427262185,0.098107009,0.451714302,0.460368835,0.08662081,,,,,,,,,,,,,,,,,,
1,2011,ALABAMA,16061,7435,7738,887,8951183,3766050,4914047,270877,0.462922608,0.481788183,0.055226947,0.420732098,0.548982967,0.030261587,,,,,,,,,,,,,,,,,,
2,2011,ALASKA,1156,509,513,132,658466,267632,322479,68168,0.440311419,0.443771626,0.114186851,0.406447713,0.489742827,0.103525467,,,,,,,,,,,,,,,,,,
3,2011,ARIZONA,7739,5151,2352,236,4880618,2514129,2175993,190496,0.665589869,0.303915235,0.030494896,0.515125134,0.445843744,0.039031123,,,,,,,,,,,,,,,,,,
4,2011,ARKANSAS,12641,7061,4962,617,6104343,3297850,2403481,396885,0.558579226,0.392532236,0.04880943,0.54024651,0.393732954,0.065016825,,,,,,,,,,,,,,,,,,
5,2011,CALIFORNIA,24609,10446,11240,2921,27856257,9033103,13889902,4877973,0.424478849,0.456743468,0.118696412,0.324275548,0.498627723,0.175112292,,,,,,,,,,,,,,,,,,
