ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
45,2012, Utah ,2947,1695,1137,115,1843134,1060406,747093,35634
46,2012, Vermont ,2727,1346,1204,177,844764,399165,385139,60461
47,2012, Virginia ,13769,4805,7811,1151,9275725,3234139,5410843,547960
48,2012, Washington ,7840,4145,3349,345,6934653,2624481,3690034,620138
49,2012, West Virginia ,7093,3409,2774,910,3534957,1398977,1842923,293057
50,2012, Wisconsin ,14057,7632,5413,1012,6455677,3252691,2845979,357008
51,2012, Wyoming ,3101,742,1962,397,1246462,174528,879766,192167
52,2012, Puerto Rico ,2248,422,1551,274,2081522,442147,1414387,224850
53,2012, Totals ,607380,287194,262878,57049,358547072,160127599,169625957,27892654
1,2013, Alabama ,16078,7239,8039,800,9072109,3734094,5066809,271206
2,2013, Alaska ,1196,538,526,131,668953,273896,322205,72799
3,2013, Arizona ,7862,4959,2696,207,4857523,2477040,2193159,187325
4,2013, Arkansas ,12748,7003,5127,618,6181639,3194303,2660255,327081
5,2013, California ,24955,10607,11679,2669,28397676,9426789,15021550,3949336
6,2013, Colorado ,8612,4169,3972,469,4808599,2626103,1955975,226307
7,2013, Connecticut ,4218,1417,2395,406,3291651,656573,1990386,644692
8,2013, Delaware ,864,280,528,56,962618,247103,655528,59987
9,2013, Dist. Of Col. ,252,62,169,21,563541,78619,406615,78307
10,2013, Florida ,12070,8589,3241,238,16066813,11150814,4547274,367442
11,2013, Georgia ,14769,7183,6925,661,9172250,4833942,4074111,264197
12,2013, Hawaii ,1125,328,722,75,1314136,293854,997253,23029
13,2013, Idaho ,4232,1135,2736,359,1670346,391787,1157967,120536
14,2013, Illinois ,26621,15133,9291,2172,12756290,5555584,5913038,1276412
15,2013, Indiana ,18953,7887,9232,1833,7710036,3341385,3719838,648695
16,2013, Iowa ,24398,9579,10134,4665,8057618,3610959,3595001,846984
17,2013, Kansas ,25171,14111,9340,1718,8141442,5576779,2284204,280341
18,2013, Kentucky ,14116,5694,7326,1095,5880096,2426540,3086990,366031
19,2013, Louisiana ,13050,6932,4514,1597,16022497,8070601,6510258,1440272
20,2013, Maine ,2402,762,1291,349,1207094,472675,600629,133790
21,2013, Maryland ,5291,1824,3148,319,5083217,1457640,3441968,183609
22,2013, Massachusetts ,5136,1512,3153,469,4050788,958276,2512036,579659
23,2013, Michigan ,11022,4714,5041,1256,6274311,2386520,3346366,538383
24,2013, Minnesota ,13137,8136,3957,1043,6153862,3419524,2424237,309898
25,2013, Mississippi ,17044,11157,4278,1600,8823379,6050567,2363100,408220
26,2013, Missouri ,24350,11834,10557,1959,10250819,4779458,4634922,836440
27,2013, Montana ,5126,1958,2914,253,1971369,636414,1223161,110786
28,2013, Nebraska ,15370,8062,5482,1808,3910425,2357989,1279942,270872
29,2013, Nevada ,1853,1159,663,31,1558332,947723,597136,13474
30,2013, New Hampshire ,2438,1307,877,254,1099451,621220,384523,93707
31,2013, New Jersey ,6566,1998,3992,576,6669022,1666049,4322263,680710
32,2013, New Mexico ,3935,1440,2208,287,1736625,639913,982637,114076
33,2013, New York ,17442,6429,8955,2057,12758149,3469748,7621821,1666310
34,2013, North Carolina ,18168,7827,8035,2292,8967236,4156548,3777005,1022686
35,2013, North Dakota ,4439,2329,1583,525,1229786,720992,438981,69737
36,2013, Ohio ,27015,14089,10670,2166,13411198,6108201,6312625,838474
37,2013, Oklahoma ,22912,10408,9065,3437,8282210,3932988,3450502,898256
38,2013, Oregon ,7656,3093,4165,396,4886278,1262462,3398634,224893
39,2013, Pennsylvania ,22660,6029,11498,5132,12498891,3151086,7680711,1666565
